"study","treatment","r","n","y","sd"
"WELL_AK1A4006","fluoxetine",88,155,NA,NA
"Clerc1994","fluoxetine",17,34,NA,NA
"Clerc1994","venlafaxine",24,34,NA,NA
"Van Moffaert1995","fluoxetine",48,82,NA,NA
"Van Moffaert1995","sertraline",49,83,NA,NA
"Kato2006","fluvoxamine",31,49,NA,NA
"Kato2006","paroxetine",37,52,NA,NA
"MY-1043/BRL-029060/115","fluoxetine",167,289,NA,NA
"MY-1043/BRL-029060/115","paroxetine",152,284,NA,NA
"Szegedi2005","mirtazapine",65,130,NA,NA
"Szegedi2005","venlafaxine",52,128,NA,NA
"De Wilde1993","fluoxetine",26,41,NA,NA
"De Wilde1993","paroxetine",25,37,NA,NA
"Baldwin2005","escitalopram",112,166,NA,NA
"Baldwin2005","paroxetine",111,159,NA,NA
"Berlanga2004","citalopram",33,54,NA,NA
"Berlanga2004","reboxetine",27,47,NA,NA
"Sechter1999","fluoxetine",35,120,NA,NA
"Sechter1999","sertraline",48,118,NA,NA
"Alves1999","fluoxetine",35,47,NA,NA
"Alves1999","venlafaxine",36,40,NA,NA
"Aguglia1993","fluoxetine",26,56,NA,NA
"Aguglia1993","sertraline",35,52,NA,NA
"Nieremberg2007","duloxetine",113,273,NA,NA
"Nieremberg2007","escitalopram",109,274,NA,NA
"Ventura2007","escitalopram",75,107,NA,NA
"Ventura2007","sertraline",74,108,NA,NA
"Moore2005","citalopram",87,152,NA,NA
"Moore2005","escitalopram",105,142,NA,NA
"Clerc2001","fluvoxamine",32,56,NA,NA
"Clerc2001","milnacipran",40,57,NA,NA
"DeNayer2002","fluoxetine",29,73,NA,NA
"DeNayer2002","venlafaxine",37,73,NA,NA
"Detke2004","duloxetine",126,188,NA,NA
"Detke2004","paroxetine",63,86,NA,NA
"SCT-MD-27","escitalopram",69,136,NA,NA
"SCT-MD-27","sertraline",78,138,NA,NA
"Amini2005","fluoxetine",8,18,NA,NA
"Amini2005","mirtazapine",12,18,NA,NA
"Newhouse2000","fluoxetine",84,119,NA,NA
"Newhouse2000","sertraline",85,117,NA,NA
"Guelfi1998","fluoxetine",51,100,NA,NA
"Guelfi1998","milnacipran",109,200,NA,NA
"Winokur2000","fluoxetine",6,13,NA,NA
"Winokur2000","mirtazapine",8,9,NA,NA
"Yang2003","milnacipran",4,27,NA,NA
"Yang2003","sertraline",2,26,NA,NA
"DiazMaritinez1998","fluoxetine",46,75,NA,NA
"DiazMaritinez1998","venlafaxine",45,70,NA,NA
"Rossini2002","fluvoxamine",29,40,NA,NA
"Rossini2002","sertraline",28,48,NA,NA
"29060/785","citalopram",102,207,NA,NA
"29060/785","paroxetine",77,199,NA,NA
"Mehtonen2000","sertraline",41,72,NA,NA
"Mehtonen2000","venlafaxine",49,75,NA,NA
"Clayton2006b(WELL_AK130926)","bupropion",81,138,NA,NA
"Clayton2006b(WELL_AK130926)","escitalopram",82,149,NA,NA
"Kavoussi1997","bupropion",82,122,NA,NA
"Kavoussi1997","sertraline",85,126,NA,NA
"SCT-MD-16","escitalopram",65,102,NA,NA
"SCT-MD-16","fluoxetine",65,103,NA,NA
"Bennie1995","fluoxetine",63,144,NA,NA
"Bennie1995","sertraline",73,142,NA,NA
"Burke2000","citalopram",57,127,NA,NA
"Burke2000","escitalopram",122,252,NA,NA
"Nemeroff2007","fluoxetine",45,104,NA,NA
"Nemeroff2007","venlafaxine",51,102,NA,NA
"Ontiveros1994","fluoxetine",35,62,NA,NA
"Ontiveros1994","paroxetine",41,60,NA,NA
"Colonna2005","citalopram",96,182,NA,NA
"Colonna2005","escitalopram",104,175,NA,NA
"Zanardi1996","paroxetine",6,22,NA,NA
"Zanardi1996","sertraline",18,24,NA,NA
"Ekselius1997","citalopram",136,200,NA,NA
"Ekselius1997","sertraline",139,200,NA,NA
"Schazberg2000","mirtazapine",72,128,NA,NA
"Schazberg2000","paroxetine",60,126,NA,NA
"Oslin2003","sertraline",9,25,NA,NA
"Oslin2003","venlafaxine",5,27,NA,NA
"Croft1999","bupropion",77,120,NA,NA
"Croft1999","sertraline",79,119,NA,NA
"Benkert1999","mirtazapine",74,139,NA,NA
"Benkert1999","paroxetine",66,136,NA,NA
"WXL101497","bupropion",106,188,NA,NA
"WXL101497","venlafaxine",120,189,NA,NA
"Goldstein2004","duloxetine",81,177,NA,NA
"Goldstein2004","paroxetine",34,87,NA,NA
"Goldstein2002","duloxetine",32,70,NA,NA
"Goldstein2002","fluoxetine",15,33,NA,NA
"Silverstone1999","fluoxetine",75,119,NA,NA
"Silverstone1999","venlafaxine",79,122,NA,NA
"Hackett1998","fluvoxamine",14,34,NA,NA
"Hackett1998","venlafaxine",48,77,NA,NA
"Coleman2001","bupropion",76,150,NA,NA
"Coleman2001","fluoxetine",83,154,NA,NA
"Shelton2006","sertraline",45,82,NA,NA
"Shelton2006","venlafaxine",49,78,NA,NA
"MY-1045/BRL-029060/1","fluoxetine",244,351,NA,NA
"MY-1045/BRL-029060/1","paroxetine",217,357,NA,NA
"Lee2002","fluoxetine",12,31,NA,NA
"Lee2002","milnacipran",15,39,NA,NA
"Fava2002","fluoxetine",57,92,NA,NA
"Fava2002","paroxetine",64,96,NA,NA
"Fava2002","sertraline",70,96,NA,NA
"Bougerol1997a","citalopram",115,173,NA,NA
"Bougerol1997a","fluoxetine",113,184,NA,NA
"Fava2000","fluoxetine",26,35,NA,NA
"Fava2000","paroxetine",23,30,NA,NA
"Fava2000","sertraline",37,43,NA,NA
"Bosc1997a","fluoxetine",55,127,NA,NA
"Bosc1997a","reboxetine",49,126,NA,NA
"Guelfi2000","mirtazapine",48,78,NA,NA
"Guelfi2000","venlafaxine",39,79,NA,NA
"29060/365","fluoxetine",32,70,NA,NA
"29060/365","paroxetine",33,68,NA,NA
"Lepola2001","citalopram",79,161,NA,NA
"Lepola2001","escitalopram",95,156,NA,NA
"Aberg-Wisted2000","paroxetine",111,177,NA,NA
"Aberg-Wisted2000","sertraline",116,176,NA,NA
"Langworth2006","citalopram",112,173,NA,NA
"Langworth2006","reboxetine",83,177,NA,NA
"Dalery1998","fluoxetine",54,94,NA,NA
"Dalery1998","fluvoxamine",53,90,NA,NA
"Kjernisted2002","mirtazapine",117,176,NA,NA
"Kjernisted2002","sertraline",114,170,NA,NA
"Annseaau1993","fluvoxamine",24,64,NA,NA
"Annseaau1993","paroxetine",24,56,NA,NA
"Chouinard1999","fluoxetine",53,101,NA,NA
"Chouinard1999","paroxetine",51,102,NA,NA
"Wade2007","duloxetine",81,151,NA,NA
"Wade2007","escitalopram",94,144,NA,NA
"Sechter2000","milnacipran",74,149,NA,NA
"Sechter2000","paroxetine",78,153,NA,NA
"Wade2003","mirtazapine",38,99,NA,NA
"Wade2003","paroxetine",34,98,NA,NA
"Annseau1994","fluoxetine",43,93,NA,NA
"Annseau1994","milnacipran",32,97,NA,NA
"Allard2004","citalopram",50,75,NA,NA
"Allard2004","venlafaxine",49,76,NA,NA
"AK130939","bupropion",115,204,NA,NA
"AK130939","venlafaxine",127,198,NA,NA
"Costaesilva1998","fluoxetine",153,186,NA,NA
"Costaesilva1998","venlafaxine",170,196,NA,NA
"Hong2003","fluoxetine",30,66,NA,NA
"Hong2003","mirtazapine",35,66,NA,NA
"Tzanakaki2000","fluoxetine",31,54,NA,NA
"Tzanakaki2000","venlafaxine",36,55,NA,NA
"Versiani2005","fluoxetine",104,152,NA,NA
"Versiani2005","mirtazapine",106,147,NA,NA
"Bosc1997b","fluoxetine",51,89,NA,NA
"Bosc1997b","reboxetine",46,79,NA,NA
"ID#4091","duloxetine",52,175,NA,NA
"ID#4091","paroxetine",38,89,NA,NA
"McPartlin1998","paroxetine",105,178,NA,NA
"McPartlin1998","venlafaxine",113,183,NA,NA
"Nemeroff1995","fluvoxamine",19,49,NA,NA
"Nemeroff1995","sertraline",21,48,NA,NA
"Rapaport1995","fluoxetine",29,49,NA,NA
"Rapaport1995","fluvoxamine",30,51,NA,NA
"Bougerol1997b","citalopram",98,158,NA,NA
"Bougerol1997b","fluoxetine",102,158,NA,NA
"Agren1999","citalopram",117,133,NA,NA
"Agren1999","mirtazapine",116,137,NA,NA
