"study","treatment","r","n","measure","outcome"
"Moore2005","citalopram",87,152,"OR",NA
"Moore2005","escitalopram",105,142,"OR",NA
"Clerc2001","fluvoxamine",32,56,"OR",NA
"Clerc2001","milnacipran",40,57,"OR",NA
"DeNayer2002","fluoxetine",29,73,"OR",NA
"DeNayer2002","venlafaxine",37,73,"OR",NA
"Detke2004","duloxetine",126,188,"OR",NA
"Detke2004","paroxetine",63,86,"OR",NA
"SCT-MD-27","escitalopram",69,136,"OR",NA
"SCT-MD-27","sertraline",78,138,"OR",NA
"Amini2005","fluoxetine",8,18,"OR",NA
"Amini2005","mirtazapine",12,18,"OR",NA
"Newhouse2000","fluoxetine",84,119,"OR",NA
"Newhouse2000","sertraline",85,117,"OR",NA
"Guelfi1998","fluoxetine",51,100,"OR",NA
"Guelfi1998","milnacipran",109,200,"OR",NA
"Winokur2000","fluoxetine",6,13,"OR",NA
"Winokur2000","mirtazapine",8,9,"OR",NA
"Yang2003","milnacipran",4,27,"OR",NA
"Yang2003","sertraline",2,26,"OR",NA
"DiazMaritinez1998","fluoxetine",46,75,"OR",NA
"DiazMaritinez1998","venlafaxine",45,70,"OR",NA
"Rossini2002","fluvoxamine",29,40,"OR",NA
"Rossini2002","sertraline",28,48,"OR",NA
"29060/785","citalopram",102,207,"OR",NA
"29060/785","paroxetine",77,199,"OR",NA
"Mehtonen2000","sertraline",41,72,"OR",NA
"Mehtonen2000","venlafaxine",49,75,"OR",NA
"Clayton2006b(WELL_AK130926)","bupropion",81,138,"OR",NA
"Clayton2006b(WELL_AK130926)","escitalopram",82,149,"OR",NA
"Kavoussi1997","bupropion",82,122,"OR",NA
"Kavoussi1997","sertraline",85,126,"OR",NA
"SCT-MD-16","escitalopram",65,102,"OR",NA
"SCT-MD-16","fluoxetine",65,103,"OR",NA
"Bennie1995","fluoxetine",63,144,"OR",NA
"Bennie1995","sertraline",73,142,"OR",NA
"Burke2000","citalopram",57,127,"OR",NA
"Burke2000","escitalopram",122,252,"OR",NA
"Nemeroff2007","fluoxetine",45,104,"OR",NA
"Nemeroff2007","venlafaxine",51,102,"OR",NA
"Ontiveros1994","fluoxetine",35,62,"OR",NA
"Ontiveros1994","paroxetine",41,60,"OR",NA
"Colonna2005","citalopram",96,182,"OR",NA
"Colonna2005","escitalopram",104,175,"OR",NA
"Zanardi1996","paroxetine",6,22,"OR",NA
"Zanardi1996","sertraline",18,24,"OR",NA
"Ekselius1997","citalopram",136,200,"OR",NA
"Ekselius1997","sertraline",139,200,"OR",NA
"Schazberg2000","mirtazapine",72,128,"OR",NA
"Schazberg2000","paroxetine",60,126,"OR",NA
"Oslin2003","sertraline",9,25,"OR",NA
"Oslin2003","venlafaxine",5,27,"OR",NA
"Croft1999","bupropion",77,120,"OR",NA
"Croft1999","sertraline",79,119,"OR",NA
"Benkert1999","mirtazapine",74,139,"OR",NA
"Benkert1999","paroxetine",66,136,"OR",NA
"WXL101497","bupropion",106,188,"OR",NA
"WXL101497","venlafaxine",120,189,"OR",NA
"Goldstein2004","duloxetine",81,177,"OR",NA
"Goldstein2004","paroxetine",34,87,"OR",NA
"Goldstein2002","duloxetine",32,70,"OR",NA
"Goldstein2002","fluoxetine",15,33,"OR",NA
"Silverstone1999","fluoxetine",75,119,"OR",NA
"Silverstone1999","venlafaxine",79,122,"OR",NA
"Hackett1998","fluvoxamine",14,34,"OR",NA
"Hackett1998","venlafaxine",48,77,"OR",NA
"Coleman2001","bupropion",76,150,"OR",NA
"Coleman2001","fluoxetine",83,154,"OR",NA
"Shelton2006","sertraline",45,82,"OR",NA
"Shelton2006","venlafaxine",49,78,"OR",NA
"MY-1045/BRL-029060/1","fluoxetine",244,351,"OR",NA
"MY-1045/BRL-029060/1","paroxetine",217,357,"OR",NA
"Lee2002","fluoxetine",12,31,"OR",NA
"Lee2002","milnacipran",15,39,"OR",NA
"Fava2002","fluoxetine",57,92,"OR",NA
"Fava2002","paroxetine",64,96,"OR",NA
"Fava2002","sertraline",70,96,"OR",NA
"Bougerol1997a","citalopram",115,173,"OR",NA
"Bougerol1997a","fluoxetine",113,184,"OR",NA
"Fava2000","fluoxetine",26,35,"OR",NA
"Fava2000","paroxetine",23,30,"OR",NA
"Fava2000","sertraline",37,43,"OR",NA
"Bosc1997a","fluoxetine",55,127,"OR",NA
"Bosc1997a","reboxetine",49,126,"OR",NA
"Guelfi2000","mirtazapine",48,78,"OR",NA
"Guelfi2000","venlafaxine",39,79,"OR",NA
"29060/365","fluoxetine",32,70,"OR",NA
"29060/365","paroxetine",33,68,"OR",NA
"Lepola2001","citalopram",79,161,"OR",NA
"Lepola2001","escitalopram",95,156,"OR",NA
"Aberg-Wisted2000","paroxetine",111,177,"OR",NA
"Aberg-Wisted2000","sertraline",116,176,"OR",NA
"Langworth2006","citalopram",112,173,"OR",NA
"Langworth2006","reboxetine",83,177,"OR",NA
"Dalery1998","fluoxetine",54,94,"OR",NA
"Dalery1998","fluvoxamine",53,90,"OR",NA
"Kjernisted2002","mirtazapine",117,176,"OR",NA
"Kjernisted2002","sertraline",114,170,"OR",NA
"Annseaau1993","fluvoxamine",24,64,"OR",NA
"Annseaau1993","paroxetine",24,56,"OR",NA
"Chouinard1999","fluoxetine",53,101,"OR",NA
"Chouinard1999","paroxetine",51,102,"OR",NA
"Wade2007","duloxetine",81,151,"OR",NA
"Wade2007","escitalopram",94,144,"OR",NA
"Sechter2000","milnacipran",74,149,"OR",NA
"Sechter2000","paroxetine",78,153,"OR",NA
"Wade2003","mirtazapine",38,99,"OR",NA
"Wade2003","paroxetine",34,98,"OR",NA
"Annseau1994","fluoxetine",43,93,"OR",NA
"Annseau1994","milnacipran",32,97,"OR",NA
"Allard2004","citalopram",50,75,"OR",NA
"Allard2004","venlafaxine",49,76,"OR",NA
"AK130939","bupropion",115,204,"OR",NA
"AK130939","venlafaxine",127,198,"OR",NA
"Costaesilva1998","fluoxetine",153,186,"OR",NA
"Costaesilva1998","venlafaxine",170,196,"OR",NA
"Hong2003","fluoxetine",30,66,"OR",NA
"Hong2003","mirtazapine",35,66,"OR",NA
"Tzanakaki2000","fluoxetine",31,54,"OR",NA
"Tzanakaki2000","venlafaxine",36,55,"OR",NA
"Versiani2005","fluoxetine",104,152,"OR",NA
"Versiani2005","mirtazapine",106,147,"OR",NA
"Bosc1997b","fluoxetine",51,89,"OR",NA
"Bosc1997b","reboxetine",46,79,"OR",NA
"ID#4091","duloxetine",52,175,"OR",NA
"ID#4091","paroxetine",38,89,"OR",NA
"McPartlin1998","paroxetine",105,178,"OR",NA
"McPartlin1998","venlafaxine",113,183,"OR",NA
"Nemeroff1995","fluvoxamine",19,49,"OR",NA
"Nemeroff1995","sertraline",21,48,"OR",NA
"Rapaport1995","fluoxetine",29,49,"OR",NA
"Rapaport1995","fluvoxamine",30,51,"OR",NA
"Bougerol1997b","citalopram",98,158,"OR",NA
"Bougerol1997b","fluoxetine",102,158,"OR",NA
"Agren1999","citalopram",117,133,"OR",NA
"Agren1999","mirtazapine",116,137,"OR",NA
